threat,pat,gap_2023,gap_2024,gap_2025,category,gap_magnitude_2025
Backdoor,DAS,0.009574724412536087,0.008362472711548654,-0.013962676344075914,SNG,0.013962676344075914
IoT Device Attack,AD,0.035269886143548146,0.03312177800490993,0.013826887293450755,SNG,0.013826887293450755
Insider Threat,AC,0.03007711816626953,0.02938216544210311,0.012872589424346695,SNG,0.012872589424346695
MITM,CR,0.023014529931303013,0.02095896518539749,0.012516843364681248,SNG,0.012516843364681248
IoT Device Attack,SB,0.03279702601909936,0.028359784819349393,0.012446157349389217,SNG,0.012446157349389217
Malware,DAS,0.03934696234567727,0.034325033356565615,0.011581429282075256,SNG,0.011581429282075256
Targeted Attack,ML/DL,0.002961700094742762,-0.006807070113104774,-0.01125711073828333,SNG,0.01125711073828333
Brute Force Attack,DBI,0.023132290220396784,0.021165404477573823,0.010965141801727049,SNG,0.010965141801727049
Malware,SMF,0.009668590479434636,0.009248400217239244,-0.010536708122041263,SNG,0.010536708122041263
Insider Threat,AM,0.02648033288580721,0.02243707449133382,0.010275861129066347,SNG,0.010275861129066347
APT,DRM,-0.004013820309302067,-0.004571094546548397,-0.009818402309875176,SNG,0.009818402309875176
Insider Threat,PT,0.02446885422417444,0.023126419169167533,0.009198961877522912,SNG,0.009198961877522912
Malware,FV,0.023128804255526863,0.018443766718170895,-0.00914224298269195,SNG,0.00914224298269195
Malware,AW,0.016149603198807806,0.006444708567887841,-0.008984995441223997,SNG,0.008984995441223997
Malware,DM,0.035716887287312364,0.03110671150377912,0.008931725494040218,SNG,0.008931725494040218
IoT Device Attack,PT,0.0300203180319286,0.02649766261829503,0.008814537168015363,SNG,0.008814537168015363
MITM,CP,0.021758723821663068,0.020084028318895542,0.008802285705435139,SNG,0.008802285705435139
Brute Force Attack,PT,0.030425897521003175,0.022935712861929747,0.008310408208068535,SNG,0.008310408208068535
Malware,VK,0.01165794404454453,0.0064308675535564574,-0.007806499635444608,SNG,0.007806499635444608
