month,node,pred,ci_lower,ci_upper
2023-01-01,Account Hijacking,17.45147705078125,5.2462663650512695,29.656688690185547
2023-01-01,Adversarial Attack,5.131296634674072,1.3738467693328857,8.88874626159668
2023-01-01,APT,17.75475311279297,10.574317932128906,24.93518829345703
2023-01-01,Backdoor,17.545574188232422,9.842086791992188,25.249061584472656
2023-01-01,Botnet,1.3448394536972046,0.2137378454208374,2.4759411811828613
2023-01-01,Brute Force Attack,25.37445640563965,12.976217269897461,37.77269744873047
2023-01-01,Cryptojacking,7.278810501098633,1.0208096504211426,13.536811828613281
2023-01-01,DDoS,154.21307373046875,98.55992126464844,209.86622619628906
2023-01-01,Data Poisoning,7.029203414916992,1.0118989944458008,13.046507835388184
2023-01-01,Deepfake,9.468884468078613,0.7746610641479492,18.163108825683594
2023-01-01,Disinformation,6.861288547515869,1.4473285675048828,12.275248527526855
2023-01-01,DNS Spoofing,13.012757301330566,1.7257537841796875,24.299760818481445
2023-01-01,Dropper,3.8675241470336914,0.5421481132507324,7.19290018081665
2023-01-01,Insider Threat,20.9888916015625,9.169976234436035,32.80780792236328
2023-01-01,IoT Device Attack,34.73835372924805,22.82730484008789,46.6494026184082
2023-01-01,Malware,20.637670516967773,10.73076343536377,30.544578552246094
2023-01-01,MITM,28.714143753051758,17.605667114257812,39.8226203918457
2023-01-01,Password Attack,121.96414947509766,88.41938781738281,155.5089111328125
2023-01-01,Phishing,12.148171424865723,6.513732433319092,17.782609939575195
2023-01-01,Ransomware,7.674316883087158,1.4350166320800781,13.913617134094238
2023-01-01,Session Hijacking,23.949865341186523,10.022558212280273,37.877174377441406
2023-01-01,Supply Chain Attack,15.175115585327148,5.589202880859375,24.761028289794922
2023-01-01,Targeted Attack,8.039340019226074,2.2320737838745117,13.846606254577637
2023-01-01,Trojan,20.75189971923828,9.381729125976562,32.1220703125
2023-01-01,Vulnerability,1296.8226318359375,903.6326904296875,1690.0125732421875
2023-01-01,Zero-day,8.258683204650879,2.899383068084717,13.617982864379883
2023-01-01,3DFR,3.875922679901123,0.6657254695892334,7.086119651794434
2023-01-01,AC,1209.827392578125,889.9285278320312,1529.726318359375
2023-01-01,AD,1396.0958251953125,1008.65087890625,1783.540771484375
2023-01-01,AM,643.5020751953125,421.90753173828125,865.0966186523438
2023-01-01,AT,72874.6953125,48831.3828125,96918.0078125
2023-01-01,AW,83.41404724121094,55.02827453613281,111.79981994628906
2023-01-01,AdT,64.11835479736328,39.92740249633789,88.30931091308594
2023-01-01,BBD,40.23365783691406,24.49294662475586,55.974369049072266
2023-01-01,BC,407.20819091796875,282.3093566894531,532.1070556640625
2023-01-01,BH,92.6063003540039,55.47293472290039,129.7396697998047
2023-01-01,BN,213.13381958007812,141.0078125,285.25982666015625
2023-01-01,BO,55.328548431396484,40.00822067260742,70.64888000488281
2023-01-01,BT,184.9718475341797,145.15696716308594,224.78672790527344
2023-01-01,CA,1920.5220947265625,1336.0439453125,2505.000244140625
2023-01-01,CAPTCHA,16.21221923828125,6.597394943237305,25.827043533325195
2023-01-01,CFI,58.47581481933594,40.83116149902344,76.12046813964844
2023-01-01,CP,654.482666015625,537.373046875,771.59228515625
2023-01-01,CR,1182.312744140625,782.3446044921875,1582.2808837890625
2023-01-01,CS,784.4326782226562,584.3556518554688,984.5097045898438
